state,GDP
AL,203432.7
AK,53433.8
AZ,325395.3
AR,117126.2
CA,2729225.8
CO,358438.5
CT,251568.2
DE,64143.5
DC,124597.2
FL,965672.5
GA,557364.4
HI,79213.4
ID,74162.6
IL,775998.1
IN,337902.2
IA,173722
KS,159826.2
KY,192971.9
LA,237044.6
ME,59553.4
MD,368056.4
MA,514170.8
MI,467107
MN,340557.1
MS,100982.8
MO,290619.5
MT,46886.2
NE,118603.7
NV,156959.1
NH,76819.1
NJ,559648.8
NM,94897.4
NY,1500833.4
NC,512834.8
ND,56385.4
OH,613251.4
OK,201161.5
OR,219588
PA,715060.7
RI,53411.4
SC,213237.8
SD,46650.5
TN,331176.6
TX,1779781.4
UT,172038.4
VT,29940.7
VA,489199.1
WA,533150.4
WV,72633.4
WI,303669
WY,38446.6