state,Mean_Discharge,Mean_Covered,Mean_Total_Payment,Mean_Medicare_Payment,LOS,Medicare_Coverage,year
AK,28.864150943396226,114660.56279245282,24284.33120754717,20744.419018867924,5.33,0.8542306082706079,2018
AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,5.87,0.8084804524850154,2018
AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,5.12,0.8634767611628444,2018
AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,4.98,0.8529069383669029,2018
CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,4.59,0.8780119983937994,2018
CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,4.49,0.8519551549911462,2018
CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,5.28,0.8307113299378622,2018
DC,35.299307958477506,110420.25830449827,25532.423546712802,19320.246833910034,6.8,0.7566945926054653,2018
DE,45.80507131537242,49654.741980982566,16025.29296354992,13095.0735340729,6.3,0.817150336275168,2018
FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,5.2,0.8526170339417626,2018
GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,5.74,0.82440780409602,2018
HI,29.408,62408.89344,21826.617253333334,16682.26336,6.3,0.7643082373404567,2018
IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,5.24,0.8629463013902914,2018
ID,29.97222222222222,60442.95067901235,15695.672345679011,13378.929521604938,4.18,0.8523960762527087,2018
IL,35.60336247478144,65366.86307599193,15612.969966375253,12762.103651647612,5.13,0.8174039711299397,2018
IN,34.60054890219561,62779.775606287425,14266.922679640718,12379.189760479041,5.27,0.8676846463985172,2018
KS,37.456371986222734,69649.89831802525,13776.26653272101,11727.770378874857,4.98,0.8513025173416453,2018
KY,34.99576570218772,58730.81693719125,13654.927717007762,11323.160042342977,5.73,0.8292361759073631,2018
LA,33.773148148148145,60722.5753587963,14748.468252314815,12403.10275462963,5.6,0.8409756553995312,2018
MA,39.24611237818785,44186.34513166079,17664.331654571844,15643.057489114659,5.22,0.8855731309294091,2018
MD,37.83453815261044,24449.68843373494,22407.093060240964,20607.062738955825,5.95,0.9196669413365759,2018
ME,31.629518072289155,45170.88015060241,15402.678930722892,12836.117876506025,5.28,0.8333691778059799,2018
MI,36.36312443233424,48578.697883742054,15803.38472479564,13267.756866485013,5.12,0.8395515959101972,2018
MN,35.463433711380524,54806.81073914744,18148.31573719202,15353.970965975754,4.57,0.8460273222219893,2018
MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,5.16,0.8782725010337054,2018
MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,5.53,0.8674104094279987,2018
MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,4.62,0.8816057226837499,2018
NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,5.38,0.817577594823203,2018
ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,5.41,0.8509675812600976,2018
NE,33.41988003427592,59629.68956298201,15853.928071979435,13493.101696658097,5.47,0.8510888680330326,2018
NH,31.469813391877057,55825.05277716795,15267.298572996708,13232.381218441273,6.03,0.8667139870995517,2018
NJ,36.38714199879832,102191.24874424194,16769.918103344684,14133.952303224514,4.89,0.8428158215278083,2018
NM,31.867469879518072,64316.22593038822,16331.779732262383,13891.394926372155,5.96,0.8505744722316206,2018
NV,33.72976588628762,124300.07051505017,16346.228494983277,14068.419632107023,5.5,0.8606523294608709,2018
NY,37.913730655251896,79777.31920535617,20639.09855010427,17632.858566567884,5.26,0.854342476429466,2018
OH,33.548776662484315,56940.053627666246,14564.165630489335,11702.131902446676,5.31,0.8034879717344646,2018
OK,36.6841046277666,68566.4232193159,14220.884692152917,12075.959987927565,5.26,0.8491707969892393,2018
OR,28.105194805194806,57770.03453896104,19002.067285714285,16207.908032467532,4.71,0.8529549858321259,2018
PA,33.46406677970523,80652.28097691404,15732.523121168644,12614.740636494065,5.41,0.8018256537325855,2018
RI,31.847396768402156,41724.70457809695,14186.77987432675,12050.685619389587,5.08,0.8494306478383606,2018
SC,35.706729159691996,74673.02756277201,15138.292674924674,12537.523163709408,5.64,0.8281992846179261,2018
SD,35.98705501618123,52780.26478964401,15166.851132686084,13671.065436893205,4.91,0.9013779668101765,2018
TN,36.55721873491067,64235.862626750364,14528.190659101883,11703.646745533559,5.5,0.805581852562022,2018
TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,5.46,0.8353286617732884,2018
UT,30.160997732426303,57048.360226757366,17957.731224489795,15171.002199546485,3.92,0.8448173107111149,2018
VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,5.6,0.8042104092710204,2018
VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,5.2,0.8254449778302756,2018
WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,5.36,0.8223983103989823,2018
WI,30.666412213740458,55682.461164122135,15838.847167938931,12861.698164122137,4.9,0.8120349939455724,2018
WV,35.295890410958904,47220.435917808216,13518.595171232877,11049.930157534247,5.94,0.8173874590939844,2018
WY,27.13807531380753,45559.24372384937,16289.8289958159,14289.431297071129,4.61,0.8771995888195891,2018
AK,28.864150943396226,114660.56279245282,24284.33120754717,20744.419018867924,6.7,0.8542306082706079,2019
AL,33.459065296652305,66193.3916871064,13156.239555850183,10636.562509115014,5.82,0.8084804524850154,2019
AR,34.78881048387097,51084.51763104839,12931.131023185484,11165.731134072581,5.23,0.8634767611628444,2019
AZ,31.93640350877193,89736.34930137845,16744.431510025064,14281.441813909774,5.06,0.8529069383669029,2019
CA,33.70481234169929,128217.98159106608,21424.589738276154,18811.046850871135,4.69,0.8780119983937994,2019
CO,29.79157427937916,109312.56365299335,17935.819257206207,15280.513675166298,4.75,0.8519551549911462,2019
CT,37.3171270718232,60091.5373038674,18870.839817679556,15676.22044198895,5.38,0.8307113299378622,2019
DC,35.299307958477506,110420.25830449827,25532.423546712802,19320.246833910034,6.63,0.7566945926054653,2019
DE,45.80507131537242,49654.741980982566,16025.29296354992,13095.0735340729,6.72,0.817150336275168,2019
FL,36.85354994923065,92664.63313832696,13998.11541201281,11935.031643364837,5.3,0.8526170339417626,2019
GA,33.758449098071736,70106.88941737507,16082.232407215426,13258.31790379432,5.86,0.82440780409602,2019
HI,29.408,62408.89344,21826.617253333334,16682.26336,6.31,0.7643082373404567,2019
IA,35.64845173041894,51942.02814814815,13697.754681238615,11820.426739526412,5.39,0.8629463013902914,2019
ID,29.97222222222222,60442.95067901235,15695.672345679011,13378.929521604938,4.24,0.8523960762527087,2019
IL,35.60336247478144,65366.86307599193,15612.969966375253,12762.103651647612,5.21,0.8174039711299397,2019
IN,34.60054890219561,62779.775606287425,14266.922679640718,12379.189760479041,5.46,0.8676846463985172,2019
KS,37.456371986222734,69649.89831802525,13776.26653272101,11727.770378874857,5.05,0.8513025173416453,2019
KY,34.99576570218772,58730.81693719125,13654.927717007762,11323.160042342977,5.63,0.8292361759073631,2019
LA,33.773148148148145,60722.5753587963,14748.468252314815,12403.10275462963,5.55,0.8409756553995312,2019
MA,39.24611237818785,44186.34513166079,17664.331654571844,15643.057489114659,5.31,0.8855731309294091,2019
MD,37.83453815261044,24449.68843373494,22407.093060240964,20607.062738955825,5.85,0.9196669413365759,2019
ME,31.629518072289155,45170.88015060241,15402.678930722892,12836.117876506025,5.77,0.8333691778059799,2019
MI,36.36312443233424,48578.697883742054,15803.38472479564,13267.756866485013,5.23,0.8395515959101972,2019
MN,35.463433711380524,54806.81073914744,18148.31573719202,15353.970965975754,4.57,0.8460273222219893,2019
MO,34.27291088109063,62431.87831860641,14631.181239585963,12850.164140368594,5.26,0.8782725010337054,2019
MS,37.48513449740444,59269.25827748938,12907.527059933931,11196.123331760264,5.82,0.8674104094279987,2019
MT,30.58274647887324,44452.441742957744,14850.124014084508,13091.954313380282,4.91,0.8816057226837499,2019
NC,38.02608855410619,54670.775756016905,15814.853514605917,12929.869898952784,5.22,0.817577594823203,2019
ND,34.509565217391305,45086.673426086956,15480.656417391305,13173.536747826087,5.39,0.8509675812600976,2019
NE,33.41988003427592,59629.68956298201,15853.928071979435,13493.101696658097,5.42,0.8510888680330326,2019
NH,31.469813391877057,55825.05277716795,15267.298572996708,13232.381218441273,6.13,0.8667139870995517,2019
NJ,36.38714199879832,102191.24874424194,16769.918103344684,14133.952303224514,4.97,0.8428158215278083,2019
NM,31.867469879518072,64316.22593038822,16331.779732262383,13891.394926372155,5.94,0.8505744722316206,2019
NV,33.72976588628762,124300.07051505017,16346.228494983277,14068.419632107023,5.48,0.8606523294608709,2019
NY,37.913730655251896,79777.31920535617,20639.09855010427,17632.858566567884,5.37,0.854342476429466,2019
OH,33.548776662484315,56940.053627666246,14564.165630489335,11702.131902446676,5.36,0.8034879717344646,2019
OK,36.6841046277666,68566.4232193159,14220.884692152917,12075.959987927565,5.32,0.8491707969892393,2019
OR,28.105194805194806,57770.03453896104,19002.067285714285,16207.908032467532,4.88,0.8529549858321259,2019
PA,33.46406677970523,80652.28097691404,15732.523121168644,12614.740636494065,5.4,0.8018256537325855,2019
RI,31.847396768402156,41724.70457809695,14186.77987432675,12050.685619389587,5.06,0.8494306478383606,2019
SC,35.706729159691996,74673.02756277201,15138.292674924674,12537.523163709408,5.85,0.8281992846179261,2019
SD,35.98705501618123,52780.26478964401,15166.851132686084,13671.065436893205,5.07,0.9013779668101765,2019
TN,36.55721873491067,64235.862626750364,14528.190659101883,11703.646745533559,5.5,0.805581852562022,2019
TX,34.76220045478398,91464.19226517405,16330.95870124191,13641.717877383244,5.51,0.8353286617732884,2019
UT,30.160997732426303,57048.360226757366,17957.731224489795,15171.002199546485,3.83,0.8448173107111149,2019
VA,37.89900867410161,65882.06646427096,15276.760952085915,12285.730177612557,5.66,0.8042104092710204,2019
VT,32.67741935483871,36910.31838709678,11404.485923753666,9413.775630498534,5.31,0.8254449778302756,2019
WA,32.68175853018373,75282.48249343832,18245.774248687663,15005.293914041995,5.57,0.8223983103989823,2019
WI,30.666412213740458,55682.461164122135,15838.847167938931,12861.698164122137,5.1,0.8120349939455724,2019
WV,35.295890410958904,47220.435917808216,13518.595171232877,11049.930157534247,5.84,0.8173874590939844,2019
WY,27.13807531380753,45559.24372384937,16289.8289958159,14289.431297071129,4.74,0.8771995888195891,2019
